MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		complement activation, classical pathway			IDA		J:87227 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		humoral immune response mediated by circulating immunoglobulin			IDA		J:19437 J:30239 J:65439 J:96035 J:107174 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		humoral immune response mediated by circulating immunoglobulin	has the participant serum		IDA		J:88910 J:115034 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		immunoglobulin mediated immune response			IDA		J:19552 J:31133 J:56162 J:60916 J:64281 J:72827 J:84929 J:86281 J:87292 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		positive regulation of immune response			IDA		J:56162 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		positive regulation of type I hypersensitivity			IDA		J:31133 J:87128 J:87227 	
MGI:96446	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	12		positive regulation of type IIa hypersensitivity			IDA		J:75709 J:87127 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		antibody-dependent cellular cytotoxicity			IDA		J:83995 J:87128 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		complement activation, classical pathway			IDA		J:75709 J:87227 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		humoral immune response mediated by circulating immunoglobulin			IDA		J:107174 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		immunoglobulin mediated immune response			IDA		J:19552 J:56162 J:64281 J:84929 J:86281 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		positive regulation of immune response			IDA		J:56162 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		positive regulation of type I hypersensitivity			IDA		J:83995 J:87227 	
MGI:96443	Ighg2a	immunoglobulin heavy constant gamma 2A	12		positive regulation of type IIa hypersensitivity			IDA		J:75709 J:83995 J:87127 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		complement activation, classical pathway			IDA		J:75709 J:87227 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		humoral immune response mediated by circulating immunoglobulin			IDA		J:19437 J:107174 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		humoral immune response mediated by circulating immunoglobulin	has the participant serum		IDA		J:88910 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		immunoglobulin mediated immune response			IDA		J:31133 J:56162 J:60916 J:84929 J:86281 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		positive regulation of immune response			IDA		J:56162 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		positive regulation of type I hypersensitivity			IDA		J:87128 J:87227 	
MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	12		positive regulation of type IIa hypersensitivity			IDA		J:75709 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		antibacterial humoral response			IDA		J:83995 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		antibacterial humoral response	has the participant serum		IDA		J:115034 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		humoral immune response mediated by circulating immunoglobulin			IDA		J:65439 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		humoral immune response mediated by circulating immunoglobulin	has the participant serum		IDA		J:115034 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		immunoglobulin mediated immune response			IDA		J:84929 	
MGI:2686979	Ighg2c	immunoglobulin heavy constant gamma 2C	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:2144790	Ighg3	Immunoglobulin heavy constant gamma 3	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:2144790	Ighg3	Immunoglobulin heavy constant gamma 3	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:2144790	Ighg3	Immunoglobulin heavy constant gamma 3	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		B cell affinity maturation			IMP	MGI:2447178 	J:49405 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		B cell receptor signaling pathway			IDA		J:31951 J:94881 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		B cell receptor signaling pathway	happens in B cell		IDA		J:29834 J:42368 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		humoral immune response mediated by circulating immunoglobulin			IDA		J:19437 J:30239 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		humoral immune response mediated by circulating immunoglobulin	has the participant serum		IDA		J:88910 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		immunoglobulin mediated immune response			IDA		J:19552 J:31133 J:60916 J:64281 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:96448	Ighm	immunoglobulin heavy constant mu	12		positive regulation of immune response			IMP	MGI:2447178 	J:49405 	
MGI:4439618	Ighv1-4	immunoglobulin heavy variable 1-4	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439618	Ighv1-4	immunoglobulin heavy variable 1-4	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439618	Ighv1-4	immunoglobulin heavy variable 1-4	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3704121	Ighv1-5	immunoglobulin heavy variable V1-5	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3704121	Ighv1-5	immunoglobulin heavy variable V1-5	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3704121	Ighv1-5	immunoglobulin heavy variable V1-5	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3704122	Ighv1-7	immunoglobulin heavy variable V1-7	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3704122	Ighv1-7	immunoglobulin heavy variable V1-7	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3704122	Ighv1-7	immunoglobulin heavy variable V1-7	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439621	Ighv1-9	immunoglobulin heavy variable V1-9	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439621	Ighv1-9	immunoglobulin heavy variable V1-9	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439621	Ighv1-9	immunoglobulin heavy variable V1-9	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:5009835	Ighv1-11	immunoglobulin heavy variable V1-11	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:5009835	Ighv1-11	immunoglobulin heavy variable V1-11	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:5009835	Ighv1-11	immunoglobulin heavy variable V1-11	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3646284	Ighv1-12	immunoglobulin heavy variable V1-12	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3646284	Ighv1-12	immunoglobulin heavy variable V1-12	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3646284	Ighv1-12	immunoglobulin heavy variable V1-12	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439782	Ighv1-15	immunoglobulin heavy variable 1-15	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439782	Ighv1-15	immunoglobulin heavy variable 1-15	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439782	Ighv1-15	immunoglobulin heavy variable 1-15	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3647704	Ighv1-16	immunoglobulin heavy variable 1-16	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3647704	Ighv1-16	immunoglobulin heavy variable 1-16	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3647704	Ighv1-16	immunoglobulin heavy variable 1-16	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439780	Ighv1-18	immunoglobulin heavy variable V1-18	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439780	Ighv1-18	immunoglobulin heavy variable V1-18	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439780	Ighv1-18	immunoglobulin heavy variable V1-18	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439779	Ighv1-19	immunoglobulin heavy variable V1-19	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439779	Ighv1-19	immunoglobulin heavy variable V1-19	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439779	Ighv1-19	immunoglobulin heavy variable V1-19	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3644607	Ighv1-20	immunoglobulin heavy variable V1-20	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3644607	Ighv1-20	immunoglobulin heavy variable V1-20	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3644607	Ighv1-20	immunoglobulin heavy variable V1-20	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439784	Ighv1-22	immunoglobulin heavy variable 1-22	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439784	Ighv1-22	immunoglobulin heavy variable 1-22	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439784	Ighv1-22	immunoglobulin heavy variable 1-22	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3815050	Ighv1-23	immunoglobulin heavy variable V1-23	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3815050	Ighv1-23	immunoglobulin heavy variable V1-23	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3815050	Ighv1-23	immunoglobulin heavy variable V1-23	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3815052	Ighv1-24	immunoglobulin heavy variable V1-24	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3815052	Ighv1-24	immunoglobulin heavy variable V1-24	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3815052	Ighv1-24	immunoglobulin heavy variable V1-24	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439641	Ighv1-26	immunoglobulin heavy variable 1-26	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439641	Ighv1-26	immunoglobulin heavy variable 1-26	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439641	Ighv1-26	immunoglobulin heavy variable 1-26	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439889	Ighv1-31	immunoglobulin heavy variable 1-31	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439889	Ighv1-31	immunoglobulin heavy variable 1-31	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439889	Ighv1-31	immunoglobulin heavy variable 1-31	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439659	Ighv1-34	immunoglobulin heavy variable 1-34	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439659	Ighv1-34	immunoglobulin heavy variable 1-34	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439659	Ighv1-34	immunoglobulin heavy variable 1-34	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439639	Ighv1-36	immunoglobulin heavy variable 1-36	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439639	Ighv1-36	immunoglobulin heavy variable 1-36	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439639	Ighv1-36	immunoglobulin heavy variable 1-36	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439640	Ighv1-37	immunoglobulin heavy variable 1-37	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439640	Ighv1-37	immunoglobulin heavy variable 1-37	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439640	Ighv1-37	immunoglobulin heavy variable 1-37	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439888	Ighv1-39	immunoglobulin heavy variable 1-39	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439888	Ighv1-39	immunoglobulin heavy variable 1-39	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439888	Ighv1-39	immunoglobulin heavy variable 1-39	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3704123	Ighv1-42	immunoglobulin heavy variable V1-42	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3704123	Ighv1-42	immunoglobulin heavy variable V1-42	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3704123	Ighv1-42	immunoglobulin heavy variable V1-42	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3704124	Ighv1-43	immunoglobulin heavy variable V1-43	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3704124	Ighv1-43	immunoglobulin heavy variable V1-43	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3704124	Ighv1-43	immunoglobulin heavy variable V1-43	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439890	Ighv1-47	immunoglobulin heavy variable 1-47	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439890	Ighv1-47	immunoglobulin heavy variable 1-47	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439890	Ighv1-47	immunoglobulin heavy variable 1-47	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439754	Ighv1-49	immunoglobulin heavy variable 1-49	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439754	Ighv1-49	immunoglobulin heavy variable 1-49	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439754	Ighv1-49	immunoglobulin heavy variable 1-49	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439753	Ighv1-50	immunoglobulin heavy variable 1-50	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439753	Ighv1-50	immunoglobulin heavy variable 1-50	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439753	Ighv1-50	immunoglobulin heavy variable 1-50	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439752	Ighv1-52	immunoglobulin heavy variable 1-52	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439752	Ighv1-52	immunoglobulin heavy variable 1-52	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439752	Ighv1-52	immunoglobulin heavy variable 1-52	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3576502	Ighv1-53	immunoglobulin heavy variable 1-53	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3576502	Ighv1-53	immunoglobulin heavy variable 1-53	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3576502	Ighv1-53	immunoglobulin heavy variable 1-53	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3647133	Ighv1-54	immunoglobulin heavy variable V1-54	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3647133	Ighv1-54	immunoglobulin heavy variable V1-54	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3647133	Ighv1-54	immunoglobulin heavy variable V1-54	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439716	Ighv1-55	immunoglobulin heavy variable 1-55	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439716	Ighv1-55	immunoglobulin heavy variable 1-55	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439716	Ighv1-55	immunoglobulin heavy variable 1-55	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439715	Ighv1-56	immunoglobulin heavy variable 1-56	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439715	Ighv1-56	immunoglobulin heavy variable 1-56	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439715	Ighv1-56	immunoglobulin heavy variable 1-56	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439557	Ighv1-58	immunoglobulin heavy variable 1-58	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439557	Ighv1-58	immunoglobulin heavy variable 1-58	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439557	Ighv1-58	immunoglobulin heavy variable 1-58	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3644474	Ighv1-59	immunoglobulin heavy variable V1-59	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3644474	Ighv1-59	immunoglobulin heavy variable V1-59	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3644474	Ighv1-59	immunoglobulin heavy variable V1-59	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439824	Ighv1-61	immunoglobulin heavy variable 1-61	12		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:4439824	Ighv1-61	immunoglobulin heavy variable 1-61	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439824	Ighv1-61	immunoglobulin heavy variable 1-61	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439824	Ighv1-61	immunoglobulin heavy variable 1-61	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3704125	Ighv1-62-1	immunoglobulin heavy variable 1-62-1	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3704125	Ighv1-62-1	immunoglobulin heavy variable 1-62-1	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3704125	Ighv1-62-1	immunoglobulin heavy variable 1-62-1	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3644968	Ighv1-62-2	immunoglobulin heavy variable 1-62-2	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3644968	Ighv1-62-2	immunoglobulin heavy variable 1-62-2	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3644968	Ighv1-62-2	immunoglobulin heavy variable 1-62-2	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3648544	Ighv1-62-3	immunoglobulin heavy variable 1-62-3	12		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:3648544	Ighv1-62-3	immunoglobulin heavy variable 1-62-3	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3648544	Ighv1-62-3	immunoglobulin heavy variable 1-62-3	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3648544	Ighv1-62-3	immunoglobulin heavy variable 1-62-3	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3642755	Ighv1-63	immunoglobulin heavy variable V1-63	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3642755	Ighv1-63	immunoglobulin heavy variable V1-63	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3642755	Ighv1-63	immunoglobulin heavy variable V1-63	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439789	Ighv1-64	immunoglobulin heavy variable 1-64	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439789	Ighv1-64	immunoglobulin heavy variable 1-64	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439789	Ighv1-64	immunoglobulin heavy variable 1-64	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439825	Ighv1-66	immunoglobulin heavy variable 1-66	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439825	Ighv1-66	immunoglobulin heavy variable 1-66	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439825	Ighv1-66	immunoglobulin heavy variable 1-66	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3645228	Ighv1-67	immunoglobulin heavy variable V1-67	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3645228	Ighv1-67	immunoglobulin heavy variable V1-67	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3645228	Ighv1-67	immunoglobulin heavy variable V1-67	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439632	Ighv1-69	immunoglobulin heavy variable 1-69	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439632	Ighv1-69	immunoglobulin heavy variable 1-69	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439632	Ighv1-69	immunoglobulin heavy variable 1-69	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439633	Ighv1-72	immunoglobulin heavy variable 1-72	12		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:4439633	Ighv1-72	immunoglobulin heavy variable 1-72	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439633	Ighv1-72	immunoglobulin heavy variable 1-72	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439633	Ighv1-72	immunoglobulin heavy variable 1-72	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439634	Ighv1-74	immunoglobulin heavy variable V1-74	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439634	Ighv1-74	immunoglobulin heavy variable V1-74	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439634	Ighv1-74	immunoglobulin heavy variable V1-74	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439735	Ighv1-75	immunoglobulin heavy variable 1-75	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439735	Ighv1-75	immunoglobulin heavy variable 1-75	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439735	Ighv1-75	immunoglobulin heavy variable 1-75	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439737	Ighv1-76	immunoglobulin heavy variable 1-76	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439737	Ighv1-76	immunoglobulin heavy variable 1-76	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439737	Ighv1-76	immunoglobulin heavy variable 1-76	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439670	Ighv1-77	immunoglobulin heavy variable 1-77	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439670	Ighv1-77	immunoglobulin heavy variable 1-77	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439670	Ighv1-77	immunoglobulin heavy variable 1-77	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439736	Ighv1-78	immunoglobulin heavy variable 1-78	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439736	Ighv1-78	immunoglobulin heavy variable 1-78	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439736	Ighv1-78	immunoglobulin heavy variable 1-78	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439738	Ighv1-80	immunoglobulin heavy variable 1-80	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439738	Ighv1-80	immunoglobulin heavy variable 1-80	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439738	Ighv1-80	immunoglobulin heavy variable 1-80	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439635	Ighv1-81	immunoglobulin heavy variable 1-81	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439635	Ighv1-81	immunoglobulin heavy variable 1-81	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439635	Ighv1-81	immunoglobulin heavy variable 1-81	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439671	Ighv1-82	immunoglobulin heavy variable 1-82	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439671	Ighv1-82	immunoglobulin heavy variable 1-82	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439671	Ighv1-82	immunoglobulin heavy variable 1-82	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3644235	Ighv1-84	immunoglobulin heavy variable 1-84	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3644235	Ighv1-84	immunoglobulin heavy variable 1-84	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3644235	Ighv1-84	immunoglobulin heavy variable 1-84	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:3645723	Ighv1-85	immunoglobulin heavy variable 1-85	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:3645723	Ighv1-85	immunoglobulin heavy variable 1-85	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:3645723	Ighv1-85	immunoglobulin heavy variable 1-85	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439894	Ighv2-2	immunoglobulin heavy variable 2-2	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439894	Ighv2-2	immunoglobulin heavy variable 2-2	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
MGI:4439894	Ighv2-2	immunoglobulin heavy variable 2-2	12		innate immune response			IBA	PTN001510949 	J:265628 	
MGI:4439872	Ighv2-3	immunoglobulin heavy variable 2-3	12		B cell receptor signaling pathway			IBA	PTN001510949 	J:265628 	
MGI:4439872	Ighv2-3	immunoglobulin heavy variable 2-3	12		complement activation, classical pathway			IBA	PTN001510949 	J:265628 	
